class_clean,days,avg_pnl,median_pnl,std_pnl,avg_volume,median_volume,std_volume,avg_trade_count,median_trade_count,std_trade_count,avg_win_rate,median_win_rate,std_win_rate,avg_bias,median_bias,std_bias
extreme fear,6,733.3227585,64.56941950000001,2798.334049232614,953676.9930480333,8485.5585191,2146220.199892528,387.6666666666667,23.0,694.736112971441,0.3074997416335347,0.27375780613630196,0.3663482006728455,-0.09484791396425875,-0.17694593612621945,0.8380832715100932
extreme greed,43,26904.504083162792,541.55471,112472.21201428777,2144778.8673924673,34544.4206,8247906.314350351,130.72093023255815,25.0,344.8565143706524,0.3196421290906784,0.2916666666666667,0.2541945199586041,0.16223950142281396,0.0011814190383206717,0.6953093751372876
fear,37,48087.17790956757,1147.595856,132965.88741399662,1206927.3120316912,84372.3108,3574559.061204442,374.8378378378378,67.0,700.0713659459423,0.3480706649314948,0.2986111111111111,0.2890324588554459,-0.041528187771264165,-0.0040070312961592814,0.6366331212350973
greed,56,10886.295225642858,423.0833185,39493.42434201064,3015823.6334306416,71981.6719554,9465829.216739608,201.64285714285714,55.5,344.30189863344845,0.36241481527428093,0.34005809171804297,0.2852256819148036,0.0528560825905625,0.0,0.6464216378513442
neutral,16,4666.04637375,97.70418500000001,10806.05260099313,3052417.257849581,39967.83105,11204733.346235521,172.25,61.0,386.78185066003294,0.286718840040785,0.23121761658031087,0.27048694920287414,0.06405701358431148,-5.219916662306861e-05,0.6614805843981364
